FID,Id,subcol,area,perimeter,pa_ratio,NEAR_FID,NEAR_DIST
0,0,1a,68.1988983,47.5096016,0.696632981300000,-1,-1.000000000000000
1,0,1c,19.8976994,33.6637001,1.691838860510000,-1,-1.000000000000000
2,0,1b,2.5630100,10.2701998,4.007085323330000,-1,-1.000000000000000
3,0,2,64.5832977,76.2911987,1.181283712390000,-1,-1.000000000000000
4,0,3c,8.7243099,19.9034996,2.281383752820000,-1,-1.000000000000000
5,0,4,12.7202997,16.2056007,1.273995161060000,3,49.992259949900003
6,0,14a-b,19.7672005,34.4425011,1.742406606670000,2,25.191059053000000
7,0,5,37.7114983,45.1454010,1.197125673290000,3,19.573554017300001
8,0,6,113.8300018,117.1920013,1.029535293580000,3,12.079850898100000
9,0,23,29.8241997,30.1858006,1.012124419210000,3,7.320852490420000
10,0,21,248.3410034,145.6990051,0.586689293385000,3,5.174851357890000
11,0,9s,28.6940994,36.7136002,1.279482603070000,3,30.587414982799999
12,0,9n,49.8886986,41.5251007,0.832354843616000,3,39.587967795399997
13,0,10n,17.1012993,19.4971008,1.140094757080000,5,32.290447337300002
14,0, ,1.2903301,6.4523301,5.000526905060000,5,28.966277850800001
15,0, ,2.4647200,6.8646102,2.785148143770000,5,32.649473227800001
16,0,19,27.9501991,32.9219017,1.177877187730000,7,37.263329331800001
17,0,wb2,26.3882008,24.5359001,0.929805696011000,5,39.082727140599999
18,0,10s,127.3059998,78.6953964,0.618159353733000,-1,-1.000000000000000
19,0,11-12,614.9299927,446.2869873,0.725752532482000,4,33.687808603599997
20,0, ,1.2530800,5.6269598,4.490503311160000,-1,-1.000000000000000
21,0, ,0.6510430,3.8705599,5.945168018340000,-1,-1.000000000000000
22,0, ,2.0441301,6.6787500,3.267282247540000,-1,-1.000000000000000
23,0, ,6.4992299,11.4891005,1.767763376240000,-1,-1.000000000000000
24,0,20a,6.5818300,16.2957001,2.475861549380000,7,42.320611155700000
25,0,20b,126.6299973,117.0569992,0.924401819706000,-1,-1.000000000000000
26,0, ,4.6290398,10.6710997,2.305251359940000,3,21.400031156400001
27,0,13,3.6657200,9.2545300,2.524614572530000,3,26.491922597500000
28,0,3a,28.1699009,31.2171993,1.108175635340000,2,38.500647811999997
29,0,3b,10.0468998,15.2988997,1.522748351100000,2,38.871337105099997
